% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.805050273e+02 +6.805050273e+02 +1.680505027e+03 +1.680505027e+03 -2.7893e-01 -2.1463e+00 +1.4927e+00 +4.4437e+00 +3.6579e+00 +2.4112e-01 +2.5176e+00 -6.2321e-01 -1.4510e+00 +2.4018e-01 -2.7239e+00 -2.4001e+00 +1.1443e+00 -3.6415e+00 +2.2120e+00 +3.0696e+00 +3.4339e+00 -1.2987e-02 +3.7525e-01 +3.4271e+00
44 +5.842746846e+02 +5.842746846e+02 +1.584274685e+03 +1.584274685e+03 +1.7011e+00 -1.1077e+00 +2.8052e+00 +3.3692e+00 +2.2193e+00 +3.1918e-01 +1.8181e+00 -1.2024e+00 -1.5367e+00 +2.2508e-01 -2.1540e+00 -2.3960e+00 -6.6521e-01 -3.3935e+00 -8.6860e-02 +1.6832e+00 +1.5580e+00 +1.6342e+00 -4.3955e-01 +2.8696e+00
121 +3.542002801e+02 +3.542002801e+02 +1.354200280e+03 +1.354200280e+03 +2.1167e-01 -1.3274e+00 +4.2944e-01 +3.7549e+00 +3.4081e+00 -3.5987e+00 +7.1027e-01 +3.5205e-02 -9.1843e-01 +2.0310e-01 -2.0688e+00 -1.8900e+00 -7.0361e-01 -3.0329e+00 +2.5793e+00 +2.7356e+00 +2.8036e+00 +1.9725e-01 -6.4728e-01 +8.5666e-01
602 +2.509101379e+02 +2.509101379e+02 +1.250910138e+03 +1.250910138e+03 +6.3611e-01 -1.3472e+00 +2.8162e-01 +2.9431e+00 +3.3510e+00 -2.0464e+00 +3.0754e-01 -4.0481e-01 -1.2761e+00 +2.9922e-01 -1.4425e+00 -2.1771e+00 -6.1488e-01 -3.3291e+00 +2.4254e+00 +2.3810e+00 +2.6016e+00 -7.4078e-01 +5.0525e-02 +1.4705e+00
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.635881849e+03 +1.635881849e+03 +1.705911849e+03 +1.705911849e+03 -4.0094e+00 -4.3349e+00 +4.2737e+00 +4.7877e-01 +1.7412e+00 +5.3592e-01 +2.9901e+00 +3.2341e-01 +1.8195e+00 -2.5054e+00 +2.5207e+00 -3.3215e+00 -4.5559e-01 -7.0765e-01 +1.0234e+00 +4.8498e+00 -4.3512e+00 -7.0289e-01 -3.7477e+00 +2.5054e+00
6 +8.906910812e+02 +8.906910812e+02 +9.607210812e+02 +9.607210812e+02 -1.8721e+00 +1.9141e+00 -4.7397e+00 +2.2657e+00 +3.1121e+00 -3.0585e+00 -1.2248e+00 +2.5604e+00 -4.0524e+00 -8.8278e-01 +3.7003e+00 -3.2579e+00 +1.3824e-01 +2.1787e+00 -2.7388e+00 -4.9503e+00 +1.7817e+00 -3.7234e+00 -3.2889e+00 +2.2053e+00
49 +6.051887799e+02 +6.051887799e+02 +6.752187799e+02 +6.752187799e+02 -2.1376e+00 -2.4820e+00 +9.4233e-01 -1.9350e+00 -3.8865e+00 -1.4671e+00 +2.1728e+00 -2.4516e-01 -1.5161e+00 -7.5510e-01 -1.4322e+00 +1.2141e+00 +8.9757e-01 +9.2832e-01 +1.0483e+00 +9.2833e-01 -1.0393e+00 +1.6723e+00 -3.7192e+00 +8.3511e-01
97 +3.892714622e+02 +3.892714622e+02 +4.593014622e+02 +4.593014622e+02 -3.4478e-01 -3.0021e+00 -2.9938e+00 +1.1308e+00 -4.9222e-01 -1.1654e+00 +3.1201e+00 +1.3434e+00 -2.5539e+00 +7.9940e-01 -1.3484e+00 +7.7485e-01 +1.6273e+00 -1.5805e+00 -2.4065e+00 -1.4865e+00 +1.0583e+00 +1.1957e+00 -3.6220e-01 -1.6872e-01
4119 +2.479874115e+02 +2.479874115e+02 +3.180174115e+02 +3.180174115e+02 -4.1456e-01 -2.5005e+00 -2.8446e+00 +1.6483e+00 -4.1061e-01 -9.6192e-01 +2.1301e+00 +9.7997e-01 -3.0253e+00 +6.2102e-01 -9.4726e-02 -5.8118e-01 +8.6801e-01 -7.2927e-01 -2.3092e+00 -1.2084e+00 +1.5620e+00 +2.0192e+00 -5.8010e-01 -2.1701e-01
% function evaluation | noise-free fitness - Fopt (-4.822000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.134472259e+03 +7.134472259e+03 +7.086252259e+03 +7.086252259e+03 -4.2503e+00 +4.7371e-02 +1.6536e+00 +4.7416e+00 -4.1785e+00 +4.7181e+00 +2.1611e+00 -2.0197e-01 +4.7259e+00 -1.4323e+00 +1.1706e+00 +3.2934e+00 +3.4311e+00 +1.6403e+00 -2.2117e+00 +1.5447e+00 +4.7205e+00 -3.5782e-01 -2.2495e+00 -8.6612e-01
