% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.784526661e+01 +2.784526661e+01 +1.090526661e+01 +1.090526661e+01 +3.1122e+00 +3.1454e-01 -3.2995e+00 -1.0713e+00 -5.2896e-01 -1.6753e+00 -1.1193e+00 +1.4028e+00 +1.9224e+00 +1.9651e+00 +7.4743e-01 -3.1799e+00 -2.1893e+00 +1.2881e+00 +3.1314e+00 -1.5178e-01 -2.1963e+00 +2.3121e+00 -9.5877e-01 -3.2294e+00
30 +1.968114574e+01 +1.968114574e+01 +2.741145738e+00 +2.741145738e+00 +2.4277e+00 -1.1844e+00 +3.0388e-01 -1.2751e+00 +4.4724e+00 +3.4197e+00 +2.5986e+00 +3.0691e+00 +9.9313e-01 -2.2561e+00 +3.2049e-01 +7.3299e-01 -3.1261e+00 -3.7200e+00 -3.5905e-01 +2.4327e+00 -5.4367e-01 -1.8876e+00 -1.3550e+00 -4.8130e+00
43 +1.377829107e+01 +1.377829107e+01 -3.161708933e+00 -3.161708933e+00 +4.3306e+00 -2.6801e+00 +1.0857e+00 -5.9119e-01 +1.7180e+00 +4.8771e-01 +7.3161e-01 -4.8868e-01 -7.4185e-01 -2.0247e+00 +4.2029e-01 +1.7204e+00 -2.0453e+00 -8.2929e-01 +3.0955e-01 +2.7977e+00 +7.8377e-01 -2.2703e+00 +2.4451e+00 -1.6294e+00
101 +9.533391228e+00 +9.533391228e+00 -7.406608772e+00 -7.406608772e+00 +4.3306e+00 -2.6801e+00 +1.0857e+00 -5.9119e-01 +1.7180e+00 +4.8771e-01 +7.3161e-01 -4.8868e-01 -7.4185e-01 -2.0247e+00 +4.2029e-01 +1.7204e+00 -2.0453e+00 -2.3013e+00 +3.0955e-01 +2.7977e+00 +7.8377e-01 -2.2703e+00 +2.4451e+00 -1.6294e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.822986539e+01 +8.822986539e+01 +1.070398654e+02 +1.070398654e+02 +4.7450e-01 -4.1478e+00 -7.5161e-01 +4.6062e+00 +2.0693e+00 +4.4354e+00 +2.9543e+00 +2.9534e+00 +4.8120e+00 +6.1505e-01 +3.2999e+00 -4.3842e+00 -3.5297e+00 +4.2498e+00 -4.6476e+00 +4.2647e+00 -8.9750e-01 +2.0263e+00 +1.1928e+00 -4.3621e+00
2 +3.846574157e+01 +3.846574157e+01 +5.727574157e+01 +5.727574157e+01 +2.3015e+00 -4.3777e+00 -4.3647e+00 +3.8944e+00 -9.8245e-01 +3.7517e-01 +3.1400e+00 +4.5119e+00 -1.5443e+00 +2.9435e+00 +4.5705e+00 +1.3876e+00 +4.8153e+00 +2.7147e+00 -3.6896e-01 -2.3301e+00 +3.7178e+00 +1.1572e+00 -4.4067e+00 +3.5130e+00
5 +2.040966524e+01 +2.040966524e+01 +3.921966524e+01 +3.921966524e+01 +4.2640e+00 -1.9284e+00 +4.1058e+00 -8.5347e-01 -2.0329e+00 +3.6434e+00 +3.7017e-01 -8.1934e-01 -1.7805e+00 +6.9867e-01 -1.8519e+00 +2.3741e+00 -5.1860e-01 -6.2851e-01 -9.4869e-01 +1.8265e-01 -1.4437e+00 +3.8552e-01 +1.8305e+00 +4.9064e+00
43 +1.517184686e+01 +1.517184686e+01 +3.398184686e+01 +3.398184686e+01 -3.1432e+00 +7.5557e-01 +1.9659e+00 -1.4014e-01 +2.2866e+00 +1.5115e+00 +7.0457e-01 -2.6726e+00 +2.0499e+00 -5.9097e-01 +9.7293e-01 +2.4859e+00 -3.1275e-01 -3.8104e-01 -1.9821e+00 -1.4846e+00 -1.1544e+00 +1.7330e+00 -6.6358e-03 -1.1627e+00
102 +9.321325290e+00 +9.321325290e+00 +2.813132529e+01 +2.813132529e+01 -1.8043e+00 -1.1243e+00 +3.9421e+00 +1.7562e-01 +2.4917e+00 +7.1677e-01 +1.6377e+00 -1.2240e+00 -2.7844e+00 +1.0849e+00 +8.7376e-01 +1.1025e+00 -4.4425e-01 -3.0023e+00 -1.5791e+00 -7.5512e-01 -1.4975e+00 -4.6260e-01 +9.8415e-01 +1.8185e+00
